Month,Acres Burned,Latitude,Longitude,Timestamp,Incident Start
Feb-2015,200.0,41.485,-121.851,1424780100,2015-02-24T12:15:00Z
Jun-2015,80.0,32.6449163,-116.9454387,1435334760,2015-06-26T16:06:00Z
Apr-2015,137.0,40.050833333333,-120.70166666667,1428903000,2015-04-13T05:30:00Z
Apr-2015,1049.0,33.884313,-117.642759,1429380720,2015-04-18T18:12:00Z
May-2015,692.0,37.08312,-121.06963,1431339960,2015-05-11T10:26:00Z
Jun-2015,20.0,41.1513,-123.8292,1433922120,2015-06-10T07:42:00Z
Jun-2015,1542.0,40.924,-123.168,1433948400,2015-06-10T15:00:00Z
Jun-2015,67.0,35.77937,-120.19482,1434383160,2015-06-15T15:46:00Z
Jun-2015,38.0,38.5287,-122.3415,1434464820,2015-06-16T14:27:00Z
Jun-2015,60.0,38.260777,-121.135426,1434472920,2015-06-16T16:42:00Z
Jun-2015,55.0,40.0133,-122.552,1434545400,2015-06-17T12:50:00Z
Jun-2015,171.0,32.9421,-116.8534,1434560580,2015-06-17T17:03:00Z
Jun-2015,31359.0,34.160277777778,-116.89277777778,1434556320,2015-06-17T15:52:00Z
Jun-2015,158.0,39.2688,-121.26471,1434632820,2015-06-18T13:07:00Z
Jun-2015,920.0,37.165767,-119.523943,1434661200,2015-06-18T21:00:00Z
Jun-2015,135.0,37.072561,-119.6958,1434888480,2015-06-21T12:08:00Z
Jun-2015,60.0,40.875667,-121.033667,1434730500,2015-06-19T16:15:00Z
Jun-2015,533.0,37.974123,-121.833751,1435162500,2015-06-24T16:15:00Z
Jun-2015,0.0,38.598056,-119.751944,1434740400,2015-06-19T19:00:00Z
Jun-2015,415.0,34.361007,-118.535793,1435152120,2015-06-24T13:22:00Z
Jun-2015,100.0,34.165974,-117.243878,1435257000,2015-06-25T18:30:00Z
Jun-2015,19.0,38.519132,-122.181878,1435409460,2015-06-27T12:51:00Z
Jun-2015,35.0,39.7806004,-123.248214,1435498200,2015-06-28T13:30:00Z
Jul-2015,170.0,39.8448,-122.3638,1436027580,2015-07-04T16:33:00Z
Jul-2015,23.0,39.0263,-123.303,1436023800,2015-07-04T15:30:00Z
Jul-2015,150.0,38.4113,-122.0789,1436179620,2015-07-06T10:47:00Z
Jul-2015,40.0,38.1029,-122.1578,1436535360,2015-07-10T13:36:00Z
Jul-2015,18.0,40.5953,-122.4397,1436272440,2015-07-07T12:34:00Z
Jul-2015,54.0,34.0783472,-117.0487863,1436712360,2015-07-12T14:46:00Z
Jul-2015,95.0,35.7183,-121.0157,1436532060,2015-07-10T12:41:00Z
Jul-2015,21.0,33.986204,-117.43942,1436709120,2015-07-12T13:52:00Z
Jul-2015,214.0,33.7626,-117.7274,1436784420,2015-07-13T10:47:00Z
Jul-2015,181.0,41.8048,-122.5029,1436810160,2015-07-13T17:56:00Z
Jul-2015,25.0,33.21407,-116.73472,1437046200,2015-07-16T11:30:00Z
Jul-2015,4250.0,34.339,-117.478,1437143580,2015-07-17T14:33:00Z
Jul-2015,200.0,34.367,-117.683,1437168600,2015-07-17T21:30:00Z
Jul-2015,25.0,36.8727,-121.5681,1437398580,2015-07-20T13:23:00Z
Jul-2015,430.0,36.085212,-118.824235,1437482100,2015-07-21T12:35:00Z
Jul-2015,24.0,41.999341,-121.891226,1437498000,2015-07-21T17:00:00Z
Jul-2015,8051.0,38.4994,-122.1145,1437575040,2015-07-22T14:24:00Z
Jul-2015,26.0,38.9361,-121.1548,1437589020,2015-07-22T18:17:00Z
Jul-2015,75.0,38.776,-120.404,1437660000,2015-07-23T14:00:00Z
Jul-2015,116.0,41.29226,-121.172117,1437669600,2015-07-23T16:40:00Z
Jul-2015,77.0,40.856422,-121.101623,1437672600,2015-07-23T17:30:00Z
Jul-2015,167.0,33.383889,-116.868611,1437754680,2015-07-24T16:18:00Z
Jul-2015,25.0,32.682547,-116.51684,1437741780,2015-07-24T12:43:00Z
Jul-2015,2304.0,39.192088,-120.882313,1437835020,2015-07-25T14:37:00Z
Jul-2015,158.0,41.295667,-123.784067,1437778800,2015-07-24T23:00:00Z
Jul-2015,5702.0,37.279722,-119.50014,1437834600,2015-07-25T14:30:00Z
Aug-2015,114.0,38.052,-120.5577,1439482500,2015-08-13T16:15:00Z
Jul-2015,40.0,37.24523,-121.20324,1438085400,2015-07-28T12:10:00Z
Jul-2015,16.0,40.1093,-123.774,1438103940,2015-07-28T17:19:00Z
Jul-2015,6980.0,36.24,-118.54,1437292800,2015-07-19T08:00:00Z
Jul-2015,400.0,39.43963,-121.38794,1438169100,2015-07-29T11:25:00Z
Jul-2015,69636.0,38.8863538,-122.4762475,1438183740,2015-07-29T15:29:00Z
Jul-2015,75.0,40.509552,-122.199227,1438187400,2015-07-29T16:30:00Z
Jul-2015,212.0,40.415108,-122.439939,1438192500,2015-07-29T17:55:00Z
Jul-2015,204.0,37.823,-120.15644,1438187400,2015-07-29T16:30:00Z
Aug-2015,112.0,37.83618,-120.61691,1439655060,2015-08-15T16:11:00Z
Jul-2015,195.0,37.81629,-121.68113,1438255080,2015-07-30T11:18:00Z
Jul-2015,90.0,40.49865,-122.20109,1438261020,2015-07-30T12:57:00Z
Jul-2015,86.0,36.49845,-118.9009,1438260000,2015-07-30T12:40:00Z
Jul-2015,50.0,39.43301,-123.36316,1438263360,2015-07-30T13:36:00Z
Aug-2015,500.0,33.5736,-116.5387,1439207040,2015-08-10T11:44:00Z
Jul-2015,4863.0,41.399,-121.392,1438278300,2015-07-30T17:45:00Z
Aug-2015,75.0,40.67868,-121.93244,1438484400,2015-08-02T03:00:00Z
Aug-2015,52.0,34.9522,-120.2903,1438439520,2015-08-01T14:32:00Z
Aug-2015,30.0,39.33303,-121.18735,1438625220,2015-08-03T18:07:00Z
Aug-2015,59.0,40.3929,-122.40546,1438612080,2015-08-03T14:28:00Z
Aug-2015,10570.0,40.938,-120.105,1438611300,2015-08-03T14:15:00Z
Aug-2015,55.0,33.4115972,-117.2886249,1439108520,2015-08-09T08:22:00Z
Aug-2015,110.0,40.3506868,-121.7786799,1439045700,2015-08-08T14:55:00Z
Aug-2015,25118.0,38.8142503,-122.4867319,1439134440,2015-08-09T15:34:00Z
Aug-2015,2446.0,35.3477,-120.6269,1439748780,2015-08-16T18:13:00Z
Aug-2015,146.0,40.1058823,-124.0720419,1439922600,2015-08-18T18:30:00Z
Aug-2015,2850.0,37.3845,-121.3732,1439995500,2015-08-19T14:45:00Z
Aug-2015,22.0,38.831478,-122.53428,1440418320,2015-08-24T12:12:00Z
Aug-2015,215.0,38.925764,-122.879272,1440264600,2015-08-22T17:30:00Z
Aug-2015,55.0,34.23,-116.883,1440332700,2015-08-23T12:25:00Z
Aug-2015,128.0,40.724898,-122.96174,1440511680,2015-08-25T14:08:00Z
Aug-2015,30.0,41.12362,-121.194256,1440864360,2015-08-29T16:06:00Z
Sep-2015,108.0,38.04684,-120.30188,1441718580,2015-09-08T13:23:00Z
Sep-2015,40.0,40.400196,-120.553075,1441807920,2015-09-09T14:12:00Z
Sep-2015,170.0,40.400196,-120.553075,1441809000,2015-09-09T14:30:00Z
Sep-2015,70868.0,38.32974,-120.70418,1441808760,2015-09-09T14:26:00Z
Sep-2015,1040.0,39.5218,-121.3363,1441980900,2015-09-11T14:15:00Z
Sep-2015,109.0,40.47512,-122.52541,1441984080,2015-09-11T15:08:00Z
Oct-2015,104.0,39.8707,-121.8938,1443796680,2015-10-02T14:38:00Z
Jul-2015,151623.0,36.874,-118.905,1438369200,2015-07-31T19:00:00Z
Dec-2015,1388.0,34.31953,-119.34512,1451083320,2015-12-25T22:42:00Z
Nov-2015,50.0,34.15,-118.879444,1446860700,2015-11-07T01:45:00Z
Oct-2015,690.0,36.70854,-121.32734,1444665600,2015-10-12T16:00:00Z
Oct-2015,21.0,34.4828,-119.63216,1446096600,2015-10-29T05:30:00Z
Sep-2015,30.0,39.081,-121.194,1442905200,2015-09-22T07:00:00Z
Sep-2015,1086.0,36.3699644,-121.589554,1442674800,2015-09-19T15:00:00Z
Sep-2015,95.0,36.5696373,-121.7556029,1442676300,2015-09-19T15:25:00Z
Oct-2016,65.0,38.40958,-122.43172,1476115980,2016-10-10T16:13:00Z
Apr-2016,30.0,37.2171,-121.08036,1461496200,2016-04-24T11:10:00Z
Apr-2016,0.0,34.6888731,-118.7892593,1461071340,2016-04-19T13:09:00Z
May-2016,85.0,37.927613,-120.528836,1464621000,2016-05-30T15:10:00Z
May-2016,3876.0,36.38123,-121.20059,1463930820,2016-05-22T15:27:00Z
May-2016,156.0,34.276,-118.354,1464012900,2016-05-23T14:15:00Z
May-2016,278.0,36.88286,-119.654,1464138180,2016-05-25T01:03:00Z
Jun-2016,120.0,37.17072,-121.42238,1465317000,2016-06-07T16:30:00Z
May-2016,91.0,39.33035,-121.78973,1464356580,2016-05-27T13:43:00Z
May-2016,30.0,39.624017,-121.595093,1464540660,2016-05-29T16:51:00Z
May-2016,150.0,35.61961,-120.39993,1462896660,2016-05-10T16:11:00Z
May-2016,25.0,35.8378273,-121.0381507,1463062380,2016-05-12T14:13:00Z
May-2016,132.0,36.78769,-119.38248,1463330280,2016-05-15T16:38:00Z
May-2016,169.0,38.8390117,-121.3090268,1463497560,2016-05-17T15:06:00Z
May-2016,70.0,33.41639,-117.08829,1464702480,2016-05-31T13:48:00Z
Jun-2016,0.0,35.84883,-118.08591,1464795300,2016-06-01T15:35:00Z
Jun-2016,112.0,39.595,-121.6008,1466440680,2016-06-20T16:38:00Z
Jun-2016,86.0,35.70821,-120.82266,1467029220,2016-06-27T12:07:00Z
Jun-2016,33.0,38.22017,-120.8678,1467050400,2016-06-27T18:00:00Z
Jun-2016,43.0,39.93965,-122.40142,1466504760,2016-06-21T10:26:00Z
Jun-2016,88.0,38.86804,-121.37704,1466511840,2016-06-21T12:24:00Z
Jun-2016,25.0,38.64107,-120.6955,1464957660,2016-06-03T12:41:00Z
Jun-2016,30.0,36.80296,-121.40304,1464975540,2016-06-03T17:39:00Z
Jun-2016,32.0,38.3131,-121.06452,1464973020,2016-06-03T16:57:00Z
Jun-2016,139.0,33.476894,-117.140883,1465040400,2016-06-04T11:40:00Z
Jun-2016,2520.0,36.01542,-121.25029,1465050780,2016-06-04T14:33:00Z
Jun-2016,0.0,35.01382,-119.58206,1465062360,2016-06-04T17:46:00Z
Jun-2016,24.0,40.61388,-122.46777,1465660920,2016-06-11T16:02:00Z
Jun-2016,210.0,38.26874,-120.90265,1466175240,2016-06-17T14:54:00Z
Jun-2016,7609.0,32.60729,-116.63028,1466334180,2016-06-19T11:03:00Z
Jun-2016,70.0,36.2833,-121.3306,1466268420,2016-06-18T16:47:00Z
Jun-2016,80.0,39.7947,-121.857,1465655400,2016-06-11T14:30:00Z
Jun-2016,61.0,35.77135,-120.251,1465657440,2016-06-11T15:04:00Z
Jun-2016,83.0,36.49914,-121.04993,1465735500,2016-06-12T12:45:00Z
Jun-2016,2860.0,41.623,-123.557,1465267500,2016-06-07T02:45:00Z
Jun-2016,7474.0,34.776,-119.643,1466004060,2016-06-15T15:21:00Z
Jun-2016,277.0,38.69971,-122.15457,1466955900,2016-06-26T15:45:00Z
Jun-2016,49.0,39.43351,-121.6051,1466521740,2016-06-21T15:09:00Z
Jun-2016,48019.0,35.6115,-118.45628,1466697060,2016-06-23T15:51:00Z
Jun-2016,52.0,36.1934,-120.9293,1466704620,2016-06-23T17:57:00Z
Jun-2016,1246.0,37.07147,-121.20155,1466898300,2016-06-25T23:45:00Z
Jun-2016,47.0,33.57872,-117.77395,1466946600,2016-06-26T13:10:00Z
Jun-2016,211.0,37.74369,-121.58677,1466871060,2016-06-25T16:11:00Z
Jun-2016,650.0,37.97,-119.14,1466836200,2016-06-25T06:30:00Z
Jun-2016,215.0,39.12366,-122.50373,1466956800,2016-06-26T16:00:00Z
Jun-2016,5645.0,38.96741,-120.9375,1467122100,2016-06-28T13:55:00Z
Jun-2016,372.0,38.385,-121.003611,1467140520,2016-06-28T19:02:00Z
Jul-2016,188.0,36.92244,-119.39619,1468247400,2016-07-11T14:30:00Z
Jul-2016,1100.0,34.36763,-118.57245,1468065840,2016-07-09T12:04:00Z
Jul-2016,303.0,40.36873,-122.72913,1468017900,2016-07-08T22:45:00Z
Jun-2016,464.0,40.0353,-122.56939,1467293520,2016-06-30T13:32:00Z
Jul-2016,1785.0,35.20993,-118.72272,1467381900,2016-07-01T14:05:00Z
Jun-2016,2304.0,34.701,-119.144,1467305700,2016-06-30T16:55:00Z
Jul-2016,88.0,40.07846,-122.2071,1467381240,2016-07-01T13:54:00Z
Jul-2016,2944.0,36.0749,-120.452041,1467393360,2016-07-01T17:16:00Z
Jul-2016,30.0,36.58972,-118.15589,1467377760,2016-07-01T12:56:00Z
Jul-2016,310.0,38.02845,-120.61153,1467471300,2016-07-02T14:55:00Z
Jul-2016,87.0,38.517772,-121.103642,1468164600,2016-07-10T15:30:00Z
Jul-2016,145.0,36.14161,-120.62048,1467652500,2016-07-04T17:15:00Z
Jul-2016,103.0,37.25601,-119.65776,1467633180,2016-07-04T11:53:00Z
Jul-2016,45.0,34.27619,-118.63264,1467381600,2016-07-01T14:00:00Z
Jul-2016,15.0,33.11645,-116.58542,1468241880,2016-07-11T12:58:00Z
Jul-2016,341.0,38.08056,-120.81394,1468329240,2016-07-12T13:14:00Z
Jul-2016,35.0,37.96311,-120.67335,1468336740,2016-07-12T15:19:00Z
Jul-2016,84.0,38.8866,-122.04726,1468591200,2016-07-15T14:00:00Z
Jul-2016,221.0,35.68313,-118.21793,1468429680,2016-07-13T17:08:00Z
Jul-2016,78.0,36.92244,-119.39619,1468425120,2016-07-13T15:52:00Z
Jul-2016,138.0,35.60748,-118.94811,1468626900,2016-07-15T23:55:00Z
Jul-2016,123.0,37.0099,-119.5792,1468601100,2016-07-15T16:45:00Z
Jul-2016,100.0,32.9612,-116.7945,1468847280,2016-07-18T13:08:00Z
Jul-2016,69.0,39.0863,-122.7891,1468948560,2016-07-19T17:16:00Z
Jul-2016,26.0,41.96191,-122.59328,1468937340,2016-07-19T14:09:00Z
Jul-2016,2241.0,37.01591,-119.50507,1469896800,2016-07-30T16:40:00Z
Jul-2016,57.0,37.98171,-120.64241,1469113560,2016-07-21T15:06:00Z
Jul-2016,57.0,38.33475,-122.02564,1469192460,2016-07-22T13:01:00Z
Jul-2016,1245.0,33.393,-117.35093,1469117160,2016-07-21T16:06:00Z
Jul-2016,23.0,41.71847,-122.36924,1469133000,2016-07-21T20:30:00Z
Jul-2016,100.0,35.85093,-120.81081,1469200500,2016-07-22T15:15:00Z
Jul-2016,132127.0,36.45994,-121.89938,1469177280,2016-07-22T08:48:00Z
Aug-2016,150.0,33.6542,-117.5221,1472616600,2016-08-31T04:10:00Z
Sep-2016,20.0,34.25858,-117.4415,1472939460,2016-09-03T21:51:00Z
Sep-2016,800.0,39.6871,-121.571,1473092880,2016-09-05T16:28:00Z
Sep-2016,50.0,39.7299,-123.5044,1473516360,2016-09-10T14:06:00Z
Sep-2016,50.0,34.3183,-117.3189,1473267180,2016-09-07T16:53:00Z
Sep-2016,38.0,39.39051,-120.51887,1473260940,2016-09-07T15:09:00Z
Sep-2016,75.0,40.68192,-122.4096,1473522300,2016-09-10T15:45:00Z
Jul-2016,50.0,38.79549,-121.00299,1469193300,2016-07-22T13:15:00Z
Jul-2016,28.0,33.00056,-116.9571,1469198820,2016-07-22T14:47:00Z
Jul-2016,40.0,38.01264,-122.1885,1469377800,2016-07-24T16:30:00Z
Jul-2016,38.0,37.24006,-119.4741,1469814900,2016-07-29T17:55:00Z
Jul-2016,32.0,37.81434,-120.69521,1469899500,2016-07-30T17:25:00Z
Jul-2016,114.0,37.41896,-121.79669,1469899500,2016-07-30T17:25:00Z
Aug-2016,35.0,33.22558,-117.14547,1470820440,2016-08-10T09:14:00Z
Aug-2016,80.0,40.19611,-122.26736,1470245220,2016-08-03T17:27:00Z
Aug-2016,520.0,39.6708,-121.7192,1470148500,2016-08-02T14:35:00Z
Aug-2016,5731.0,38.52513,-122.06788,1470155760,2016-08-02T16:36:00Z
Aug-2016,100.0,35.24504,-118.60344,1470330600,2016-08-04T17:10:00Z
Aug-2016,85.0,37.3228,-119.7738,1470319980,2016-08-04T14:13:00Z
Aug-2016,26.0,38.2581,-120.8657,1470404940,2016-08-05T13:49:00Z
Aug-2016,25.0,37.06531,-121.68577,1471017600,2016-08-12T16:00:00Z
Aug-2016,8110.0,34.28771,-117.27338,1470572280,2016-08-07T12:18:00Z
Aug-2016,45.0,36.09974,-120.51057,1470763800,2016-08-09T17:30:00Z
Aug-2016,36.0,38.68403,-122.26015,1470768600,2016-08-09T18:50:00Z
Aug-2016,7050.0,36.09974,-120.51057,1470661680,2016-08-08T13:08:00Z
Aug-2016,36274.0,34.30372,-117.49342,1471344240,2016-08-16T10:44:00Z
Aug-2016,35.0,40.61213,-122.47091,1470744840,2016-08-09T12:14:00Z
Aug-2016,21.0,40.9878,-123.77832,1471022580,2016-08-12T17:23:00Z
Aug-2016,46235.0,35.70595,-120.98316,1471104180,2016-08-13T16:03:00Z
Aug-2016,3929.0,38.89741,-122.60664,1471111380,2016-08-13T18:03:00Z
Aug-2016,29322.0,35.7506,-118.5678,1471365300,2016-08-16T16:35:00Z
Aug-2016,23.0,40.4572,-124.05804,1470927420,2016-08-11T14:57:00Z
Sep-2016,40.0,38.558,-121.1309,1473593100,2016-09-11T11:25:00Z
Aug-2016,0.0,38.57554,-120.00606,1471521900,2016-08-18T12:05:00Z
Sep-2016,158.0,36.84479,-119.34487,1472913840,2016-09-03T14:44:00Z
Sep-2016,25.0,37.11831,-121.69784,1472740560,2016-09-01T14:36:00Z
Aug-2016,389.0,36.16965,-121.38775,1471534500,2016-08-18T15:35:00Z
Aug-2016,36.0,39.8748511,-123.4267011,1472564100,2016-08-30T13:35:00Z
Aug-2016,304.0,35.4976,-118.5097,1472410200,2016-08-28T18:50:00Z
Aug-2016,33867.0,41.851,-123.118,1472320800,2016-08-27T18:00:00Z
Aug-2016,147.0,37.62215,-121.36665,1471682100,2016-08-20T08:35:00Z
Aug-2016,599.0,41.28486,-123.82268,1471881780,2016-08-22T16:03:00Z
Sep-2016,2575.0,40.3915,-120.7845,1473593580,2016-09-11T11:33:00Z
Aug-2016,88.0,39.79547,-121.71662,1472225400,2016-08-26T15:30:00Z
Aug-2016,450.0,38.1874,-120.6381,1472389620,2016-08-28T13:07:00Z
Aug-2016,395.0,36.1648,-118.73906,1471903200,2016-08-22T22:00:00Z
Aug-2016,710.0,41.7813,-122.611,1472050500,2016-08-24T14:55:00Z
Sep-2016,380.0,41.4657,-120.9066,1473603300,2016-09-11T14:15:00Z
Aug-2016,600.0,35.2013,-118.7212,1472206200,2016-08-26T10:10:00Z
Aug-2016,20.0,39.1408865,-122.9148951,1472576040,2016-08-30T16:54:00Z
Sep-2016,32.0,41.6314,-122.7933,1473697680,2016-09-12T16:28:00Z
Sep-2016,30.0,39.8851,-121.6998,1474068480,2016-09-16T23:28:00Z
Sep-2016,321.0,40.30594,-122.1295,1473808200,2016-09-13T23:10:00Z
Sep-2016,150.0,37.75972,-120.029626,1473774900,2016-09-13T13:55:00Z
Sep-2016,47.0,39.20427,-121.05948,1474119600,2016-09-17T13:40:00Z
Sep-2016,5443.0,37.75985,-118.95309,1474120140,2016-09-17T13:49:00Z
Sep-2016,2652.0,41.2649,-120.3178,1474123020,2016-09-17T14:37:00Z
Sep-2016,12518.0,34.63445,-120.54421,1474132800,2016-09-17T17:20:00Z
Sep-2016,215.0,34.75134,-120.55297,1474554000,2016-09-22T14:20:00Z
Sep-2016,130.0,39.4403,-121.42647,1474544700,2016-09-22T11:45:00Z
Sep-2016,300.0,39.188321,-121.78003,1474363800,2016-09-20T09:30:00Z
Sep-2016,45.0,38.5212,-120.8416,1474636320,2016-09-23T13:12:00Z
Sep-2016,1080.0,37.79635,-120.32484,1474892400,2016-09-26T12:20:00Z
Sep-2016,70.0,36.6543,-119.5327,1474634400,2016-09-23T12:40:00Z
Sep-2016,100.0,40.0,-121.93923,1474787700,2016-09-25T07:15:00Z
Sep-2016,1547.0,38.80017,-122.82895,1474800180,2016-09-25T10:43:00Z
Sep-2016,248.0,39.92,-121.32,1474896180,2016-09-26T13:23:00Z
Sep-2016,4474.0,37.10632,-121.85318,1474900920,2016-09-26T14:42:00Z
Oct-2016,2100.0,36.94536,-119.25959,1476190680,2016-10-11T12:58:00Z
Oct-2016,176.0,38.93449,-120.10744,1476408480,2016-10-14T01:28:00Z
Nov-2016,28.0,33.254355,-117.158475,1479035640,2016-11-13T11:14:00Z
Nov-2016,4824.0,34.31,-118.335,1479102300,2016-11-14T05:45:00Z
Oct-2016,10.0,36.217,-118.551,1476982800,2016-10-20T17:00:00Z
Oct-2016,4347.0,35.984,-118.551,1477739700,2016-10-29T11:15:00Z
