Acres Burned,Latitude,Longitude,Incident Start
328.0,33.985972,-117.414111,2019-10-31T06:22:34Z
50.0,32.564583,-116.834583,2019-10-31T06:39:56Z
200.0,34.183,-117.285,2019-10-31T06:53:47Z
9999.0,34.302212,-118.997115,2019-10-31T20:58:28Z
19.0,33.849906,-117.461363,2019-11-01T13:04:34Z
2534.0,40.036379,-122.637837,2019-11-03T14:16:17Z
75.0,39.100408,-122.496548,2019-11-05T06:52:14Z
308.0,38.838992,-121.325842,2019-11-25T12:39:44Z
3126.0,34.5025,-119.785,2019-11-25T19:59:12Z
15.0,40.511092,-123.6378411,2020-02-15T17:48:27Z
102.0,39.6923001,-120.3291855,2020-02-17T15:04:08Z
75.0,40.33583333,-122.84722222,2020-02-23T08:35:30Z
57.0,40.62155,-120.49392,2020-02-23T17:50:20Z
211.0,39.75638899,-122.94111111,2020-02-25T14:17:21Z
154.0,39.774968,-122.384532,2020-03-02T14:08:05Z
180.0,33.96957,-117.51793,2020-03-03T11:13:50Z
20.0,33.65263,-117.40906,2020-03-06T12:44:00Z
275.0,32.93432,-115.5865,2020-04-04T20:22:08Z
26.0,40.09554,-122.43905,2020-04-23T20:52:04Z
55.0,40.63442,-122.97693,2020-04-25T14:59:00Z
47.0,37.82066,-121.595225,2020-04-27T14:59:04Z
2060.0,36.075003,-120.106407,2020-05-03T15:52:04Z
156.0,34.47438,-120.29379,2020-05-07T08:10:19Z
17.0,39.42208,-121.47273,2020-05-08T14:46:20Z
20.0,33.861054,-117.024114,2020-05-18T13:38:14Z
152.0,37.11715,-119.982359,2020-05-21T11:30:00Z
20.0,38.697834,-122.403634,2020-05-22T15:27:09Z
5000.0,35.34237,-120.70524,2020-05-27T19:33:55Z
60.0,33.83167,-117.34934,2020-05-28T17:08:59Z
1395.0,34.01389,-119.74577,2020-05-31T18:09:09Z
237.0,37.11806,-119.93221,2020-06-01T15:29:05Z
670.0,38.824371,-121.390862,2020-06-01T15:52:43Z
10.0,39.1296,-123.48018,2020-06-01T17:41:59Z
37.0,40.809323,-120.288882,2020-06-02T17:01:52Z
129.0,33.782532,-116.524014,2020-06-02T19:38:16Z
300.0,38.232281,-122.042199,2020-06-03T18:26:25Z
19.0,37.329163,-121.726223,2020-06-04T07:38:05Z
15.0,40.837885,-122.097933,2020-06-04T16:36:17Z
126.0,37.229703,-121.851895,2020-06-04T19:36:47Z
39.0,38.98487,-121.340239,2020-06-05T09:04:00Z
141.0,38.224849,-122.549816,2020-06-05T16:56:55Z
79.0,38.196893,-122.156313,2020-06-05T17:09:00Z
107.0,38.216134,-122.536406,2020-06-06T16:19:20Z
1837.0,38.470809,-122.038208,2020-06-06T16:36:26Z
100.0,37.994368,-122.002811,2020-06-06T18:00:51Z
211.0,36.2644,-121.0781,2020-06-07T14:43:51Z
85.0,37.61955,-120.215454,2020-06-07T19:15:00Z
80.0,37.463636,-121.16483,2020-06-08T13:55:53Z
27.0,33.638067,-117.37581,2020-06-08T15:45:17Z
230.0,35.94979,-120.81509,2020-06-08T16:16:07Z
100.0,33.82925,-117.46036,2020-06-08T17:46:04Z
20.0,33.78275,-116.89655,2020-06-08T20:50:06Z
29.0,38.827755,-120.988571,2020-06-09T14:35:25Z
151.0,38.89695,-123.21318,2020-06-09T15:22:55Z
1100.0,33.37579,-117.47166,2020-06-09T21:51:40Z
300.0,34.29475,-119.17808,2020-06-10T13:11:26Z
1680.0,35.35146,-120.00521,2020-06-10T14:52:42Z
803.0,34.46182,-118.77347,2020-06-10T18:30:38Z
100.0,32.73044,-116.7862,2020-06-11T13:08:40Z
90.0,32.580882,-116.690712,2020-06-11T16:57:46Z
40.0,38.733421,-121.378879,2020-06-11T18:25:12Z
5042.0,38.520981,-121.201927,2020-06-12T12:41:17Z
533.0,36.82276,-119.36572,2020-06-12T17:35:38Z
191.0,37.40827,-120.08522,2020-06-13T14:27:51Z
10.0,33.776033,-117.461925,2020-06-13T18:32:06Z
696.0,34.63309,-120.28867,2020-06-14T15:03:45Z
445.0,35.17977,-120.69959,2020-06-15T16:44:39Z
813.0,36.3011,-120.92925,2020-06-16T14:11:55Z
18.0,35.40953,-120.56823,2020-06-16T14:44:53Z
1455.0,38.07741,-120.72958,2020-06-16T16:58:00Z
95.0,39.52408,-121.60037,2020-06-17T12:54:12Z
89.0,38.23432,-121.20828,2020-06-17T15:49:46Z
68.0,40.000132,-122.205628,2020-06-17T16:39:25Z
83.0,35.9497,-121.42113,2020-06-17T16:54:46Z
165.0,35.27678,-118.6894,2020-06-17T20:22:58Z
110.0,38.89178,-121.33956,2020-06-18T16:56:59Z
130.0,36.37085,-118.845123,2020-06-18T20:28:41Z
13.0,39.37577,-121.45372,2020-06-18T22:33:51Z
217.0,35.89133,-118.8613,2020-06-19T15:19:44Z
89.0,39.36894,-121.53976,2020-06-20T14:24:00Z
11.0,41.5017,-120.54161,2020-06-20T17:23:41Z
10.0,38.08264,-120.20316,2020-06-21T11:33:36Z
195.0,35.90835,-121.08753,2020-06-21T16:29:28Z
52.0,36.69845,-121.57407,2020-06-21T21:50:06Z
1050.0,36.5537,-119.19677,2020-06-22T08:16:27Z
348.0,35.9789,-120.87858,2020-06-22T15:55:55Z
15.0,35.62906,-120.68326,2020-06-22T13:55:00Z
19.0,36.97511,-119.33439,2020-06-23T08:23:48Z
563.0,40.43203,-120.28147,2020-06-23T21:12:11Z
210.0,40.44793,-120.04635,2020-06-24T07:49:19Z
12.0,33.27665,-115.96594,2020-06-24T17:49:08Z
202.0,37.46265,-121.18355,2020-06-25T06:47:01Z
263.0,35.30742,-119.88048,2020-06-25T17:28:46Z
280.0,38.22554,-119.00289,2020-06-26T15:13:24Z
59.0,33.565093,-116.750925,2020-06-26T17:07:51Z
2975.0,39.32596,-119.81098,2020-06-27T19:08:50Z
2192.0,37.06641,-121.21912,2020-06-28T13:28:53Z
33.0,35.69993,-120.96759,2020-06-28T15:58:46Z
12.0,41.0336731,-121.2199939,2020-06-29T12:35:41Z
136.0,39.3784,-121.4319,2020-06-30T15:43:01Z
62.0,40.791509,-123.437051,2020-06-30T17:40:16Z
4000.0,35.310132,-118.702732,2020-07-01T16:32:50Z
648.0,34.542742,-118.324601,2020-07-01T16:43:16Z
500.0,36.9678542,-119.9252132,2020-07-02T15:27:03Z
157.0,35.393889,-120.053275,2020-07-03T14:00:40Z
62.0,34.182436,-117.124353,2020-07-03T16:29:04Z
108.0,37.536015,-121.876277,2020-07-04T15:04:41Z
583.0,35.351065,-120.00485,2020-07-05T07:09:01Z
353.0,37.166733,-121.567505,2020-07-04T07:13:22Z
100.0,37.091637,-121.086625,2020-07-05T07:30:23Z
67.0,36.750186,-119.116536,2020-07-05T14:39:40Z
5513.0,37.034839,-121.501532,2020-07-05T14:55:49Z
1525.0,34.467915,-118.328877,2020-07-05T17:18:35Z
298.0,38.02996,-122.25471,2020-07-06T15:32:26Z
150.0,37.71984,-121.53524,2020-07-06T16:04:20Z
75.0,38.21614,-122.12447,2020-07-06T18:22:56Z
32.0,38.58488,-120.941267,2020-07-07T16:06:21Z
25.0,39.35498,-122.65813,2020-07-07T17:32:13Z
10.0,33.551838,-116.7464168,2020-07-09T14:27:09Z
31.0,37.37731,-121.79349,2020-07-11T10:50:33Z
108.0,37.1487,-119.50307,2020-07-11T17:57:49Z
2.0,33.623968,-117.108421,2020-07-13T12:55:16Z
33.0,39.43227,-121.37994,2020-07-13T15:06:35Z
91.0,33.48429,-116.83552,2020-07-13T15:08:00Z
29667.0,36.09493,-120.52193,2020-07-13T16:40:36Z
1485.0,36.653,-121.04401,2020-07-15T14:04:08Z
48.0,37.42319,-119.95807,2020-07-15T16:44:16Z
500.0,39.10112,-121.33589,2020-07-15T17:18:23Z
253.0,37.64044,-121.59374,2020-07-16T18:14:18Z
119.0,34.39464,-116.97557,2020-07-17T14:59:54Z
557.0,41.79319,-122.69296,2020-07-18T17:18:20Z
9564.0,40.420886,-120.86375,2020-07-18T17:28:18Z
333.0,40.462621,-122.792645,2020-07-19T17:05:41Z
22614.0,41.11037,-120.923293,2020-07-20T14:12:25Z
100.0,41.1849445,-123.6986222,2020-07-20T15:44:53Z
30.0,39.506597,-121.604579,2020-07-20T16:09:57Z
75.0,37.977309,-121.620238,2020-07-20T18:04:37Z
71.0,34.135626,-117.192142,2020-07-20T19:10:36Z
135.0,37.118075,-119.932391,2020-07-20T19:15:32Z
120.0,37.518879,-118.711135,2020-07-21T19:26:58Z
83261.0,41.699,-121.477,2020-07-24T07:33:21Z
145.0,33.93327,-117.033124,2020-07-24T17:32:36Z
138.0,39.013591,-122.359663,2020-07-24T17:47:17Z
250.0,34.028116,-117.429598,2020-07-25T18:16:54Z
51.0,38.420382,-121.044895,2020-07-26T12:57:35Z
788.0,37.083806,-121.101634,2020-07-27T09:28:40Z
321.0,34.75844,-118.72004,2020-07-27T17:19:21Z
25.0,40.78804,-124.19954,2020-07-27T18:50:25Z
100.0,32.62212,-116.77048,2020-07-28T07:49:02Z
3222.0,35.35146,-120.00521,2020-07-28T14:59:38Z
185.0,34.25143,-117.45479,2020-07-29T17:24:17Z
741.0,38.40329,-121.17197,2020-07-29T18:05:20Z
104.0,33.934137,-117.034461,2020-07-30T14:40:11Z
220.0,34.17363,-117.889503,2020-07-30T15:23:01Z
233.0,35.14357,-118.7933,2020-07-30T16:14:47Z
33424.0,33.99139,-116.9617,2020-07-31T18:08:39Z
684.0,40.34659,-121.6415,2020-08-01T16:39:21Z
178.0,34.51853,-118.59699,2020-08-01T18:04:58Z
2005.0,35.43128,-120.47346,2020-08-01T18:44:52Z
36.0,38.686478,-121.103299,2020-08-02T09:12:41Z
52.0,33.924086,-116.641846,2020-08-02T15:11:20Z
6882.0,40.36764,-120.44811,2020-08-02T16:51:26Z
560.0,39.31313,-122.48525,2020-08-02T17:13:36Z
120.0,34.04447,-118.21608,2020-08-02T20:49:07Z
600.0,39.11307,-121.38178,2020-08-02T22:24:59Z
200.0,34.3428,-118.49731,2020-08-03T15:45:29Z
7760.0,35.43044,-118.53361,2020-08-03T17:33:03Z
594.0,36.90933,-119.2439,2020-08-04T09:44:14Z
322.0,35.61521,-120.40457,2020-08-04T17:18:17Z
277.0,34.93929,-118.92967,2020-08-06T08:24:00Z
177.0,39.82454,-123.262437,2020-08-10T18:31:57Z
65.0,38.81111,-121.318472,2020-08-10T18:58:13Z
285.0,40.590714,-120.549595,2020-08-11T07:37:23Z
424.0,34.962524,-119.444977,2020-08-12T11:43:49Z
31089.0,34.679,-118.452,2020-08-12T17:13:02Z
183.0,35.308259,-119.987565,2020-08-12T19:12:15Z
512.0,38.474502,-121.172572,2020-08-13T17:01:18Z
4237.0,34.160265,-117.910498,2020-08-13T14:49:55Z
110.0,39.647686,-121.633994,2020-08-14T17:55:25Z
47029.0,39.702438,-120.143473,2020-08-14T18:52:58Z
320.0,35.472114,-120.856731,2020-08-15T13:21:11Z
2121.0,36.09876,-120.427342,2020-08-15T17:00:46Z
20.0,35.519723,-120.801074,2020-08-16T07:56:39Z
727.0,39.52452,-122.427358,2020-08-16T10:14:46Z
48088.0,36.60239,-121.62161,2020-08-16T14:56:54Z
1032648.0,39.776,-122.673,2020-08-16T20:37:26Z
705.0,39.29241,-121.100352,2020-08-17T08:00:32Z
275.0,39.555943,-122.5012461,2020-08-17T14:16:58Z
3000.0,34.438759,-118.758965,2020-08-17T17:08:40Z
14.0,38.840068,-120.876546,2020-08-17T20:06:44Z
86509.0,37.17162,-122.22275,2020-08-16T08:00:00Z
396624.0,37.439437,-121.30435,2020-08-16T09:25:25Z
6901.0,36.4463,-121.68181,2020-08-18T14:24:01Z
62.0,39.276,-123.013667,2020-08-18T15:27:56Z
1783.0,38.027921,-120.763258,2020-08-18T16:33:32Z
820.0,39.8174372,-123.2111007,2020-08-18T17:58:52Z
363220.0,38.48193,-122.14864,2020-08-17T08:00:00Z
19609.0,40.09571,-122.4393,2020-08-17T09:12:42Z
55.0,38.03106,-120.85258,2020-08-19T16:44:58Z
2857.0,37.813779,-120.312565,2020-08-20T14:26:08Z
45.0,33.454896,-117.328234,2020-08-20T16:18:49Z
143.0,37.18725,-121.68465,2020-08-21T14:36:08Z
29570.0,40.274,-120.757,2020-08-22T22:02:57Z
4929.0,38.018089,-122.836701,2020-08-18T14:27:00Z
53.0,35.4335197,-120.1243296,2020-08-25T16:29:58Z
567.0,40.773,-120.536,2020-08-26T08:03:48Z
9.0,38.8825,-121.10411,2020-08-26T13:37:15Z
290.0,34.65979,-118.36411,2020-08-28T16:21:25Z
400.0,37.08053,-119.88673,2020-08-30T11:11:55Z
13.0,39.012743,-122.637037,2020-09-01T17:34:38Z
379895.0,37.19147,-119.261175,2020-09-04T18:21:00Z
22744.0,34.08056,-116.98669,2020-09-05T12:51:00Z
16390.0,32.765615,-116.692705,2020-09-05T16:02:32Z
1100.0,39.4935,-123.3965,2020-09-07T13:26:45Z
1311.0,39.3637,-121.32361,2020-09-09T08:04:43Z
45.0,37.46377,-121.18018,2020-09-08T22:27:00Z
45.0,41.68229,-122.84057,2020-09-09T15:59:31Z
50.0,41.575549,-123.021635,2020-09-11T10:05:44Z
1185.0,37.135474,-119.027309,2020-09-12T13:57:57Z
2188.0,41.211022,-122.847359,2020-09-16T11:08:31Z
111.0,34.773809,-120.491594,2020-09-16T16:00:33Z
6254.0,33.88831,-116.68386,2020-09-17T16:11:01Z
67484.0,38.56295,-122.49745,2020-09-27T08:48:00Z
56338.0,40.53927,-122.56656,2020-09-27T16:03:27Z
230.0,34.563,-118.4,2020-09-28T17:08:09Z
454.0,33.764357,-117.374419,2020-09-29T13:32:00Z
48.0,38.49375,-121.003602,2020-09-30T13:09:00Z
20.0,38.464074,-121.039236,2020-10-03T15:38:00Z
21.0,38.424016,-121.006635,2020-10-04T12:46:20Z
56.0,39.181047,-121.450982,2020-10-07T06:06:33Z
30.0,37.821737,-122.104314,2020-10-11T18:04:00Z
21.0,37.98337,-120.64541,2020-10-13T14:31:29Z
170.0,34.014728,-117.138078,2020-10-15T05:40:14Z
15.0,38.659387,-120.964726,2020-10-18T20:42:24Z
6.0,39.51694,-121.54475,2020-10-22T14:43:49Z
102.0,40.55823,-123.88658,2020-10-23T13:52:08Z
61.0,38.56184,-122.37828,2020-10-23T17:25:43Z
275.0,40.38869,-122.39033,2020-10-25T09:56:31Z
133.0,40.47646,-122.18102,2020-10-25T12:54:39Z
5.0,40.41486,-122.342,2020-10-25T14:22:27Z
12466.0,33.73614,-117.65719,2020-10-26T07:54:50Z
13964.0,33.877257,-117.675067,2020-10-26T14:32:41Z
150.0,34.03343,-117.51476,2020-11-01T17:05:47Z
131.0,34.146195,-117.778561,2020-11-06T07:28:52Z
49.0,41.4435,-120.87054,2020-11-17T12:47:00Z
1087.0,33.893351,-117.62109,2020-12-01T17:27:18Z
200.0,33.773754,-117.051463,2020-12-03T02:06:22Z
6686.0,33.743842,-117.674967,2020-12-02T22:14:00Z
24.0,41.591948,-120.374514,2020-12-03T13:32:00Z
174.0,34.33622,-119.078,2020-12-07T11:44:00Z
1954.0,33.93244,-117.03459,2020-12-13T08:00:00Z
